entry_id,yoruba_word,tone_marked_form,ipa_transcription,pos_tag,pos_subcategory,grammatical_features,english_gloss,morphological_structure,morpheme_count,root_morpheme,derivational_affixes,inflectional_affixes,tone_pattern,syllable_count,syllable_structure,vowel_harmony_class,nasality,example_sentence_yoruba,example_sentence_tone_marked,example_sentence_english,syntactic_role,valency,aspect_marker,tense_marker,negation_form,dialect_variant,register,frequency_class,semantic_field,animacy,noun_class,verb_class,adposition_type,complementizer_type,focus_marker,serial_verb_position,idiomatic_usage,source_corpus,data_collector,annotation_confidence,notes
YOR_000001,A,A,/a/,noun,common,[],gloss_pending,root,1,A,none,none,M,1,V-CV,ATR+,non-nasal,Mo feran A,Mo fẹ́ràn A,I like A,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000002,a/languages M to Z,a/languages M to Z,/a/languages m to z/,phrase,common,[],gloss_pending,derived,7,a/languages M to Z,none,none,M-M-M-M-M-L-M,7,V-CV,ATR+,non-nasal,Mo feran a/languages M to Z,Mo fẹ́ràn a/languages M to Z,I like a/languages M to Z,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000003,a dupẹ,a dupẹ,/a duk͡pɛ/,phrase,common,[],gloss_pending,derived,3,a dupẹ,none,none,M-M-H,3,V-CV,ATR+,non-nasal,Mo feran a dupẹ,Mo fẹ́ràn a dupẹ,I like a dupẹ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000004,a o ki n dupẹ ara ẹni,a o ki n dupẹ ara ẹni,/a o ki n duk͡pɛ ara ɛni/,phrase,common,[],gloss_pending,derived,9,a o ki n dupẹ ara ẹni,none,none,M-M-M-M-H-M-M-H-M,9,V-CV,ATR+,non-nasal,Mo feran a o ki n dupẹ ara ẹni,Mo fẹ́ràn a o ki n dupẹ ara ẹni,I like a o ki n dupẹ ara ẹni,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000005,Aadamọ,Aadamọ,/aadamɔ/,noun,common,[],gloss_pending,derived,5,Aadamọ,none,none,M-M-M-L-H,5,V-CV,ATR+,non-nasal,Mo feran Aadamọ,Mo fẹ́ràn Aadamọ,I like Aadamọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000006,aadọrin,aadọrin,/aadɔrin/,noun,common,[],gloss_pending,derived,4,aadọrin,none,none,M-M-H-M,4,V-CV,ATR+,non-nasal,Mo feran aadọrin,Mo fẹ́ràn aadọrin,I like aadọrin,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000007,aadọta,aadọta,/aadɔta/,noun,common,[],gloss_pending,derived,4,aadọta,none,none,M-M-H-M,4,V-CV,ATR+,non-nasal,Mo feran aadọta,Mo fẹ́ràn aadọta,I like aadọta,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000008,aafin,aafin,/aafin/,noun,common,[],gloss_pending,derived,3,aafin,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aafin,Mo fẹ́ràn aafin,I like aafin,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000009,Aafirika,Aafirika,/aafirika/,noun,common,[],gloss_pending,derived,5,Aafirika,none,none,M-M-M-M-M,5,V-CV,ATR+,non-nasal,Mo feran Aafirika,Mo fẹ́ràn Aafirika,I like Aafirika,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
YOR_000010,aago,aago,/aago/,noun,common,[],gloss_pending,derived,3,aago,none,none,M-M-M,3,V-CV,ATR+,non-nasal,Mo feran aago,Mo fẹ́ràn aago,I like aago,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary_Scrape_2026,Auto_Linguistic_Parser,high,No-dependency build
