entry_id,yoruba_word,tone_marked_form,ipa_transcription,pos_tag,pos_subcategory,grammatical_features,english_gloss,morphological_structure,morpheme_count,root_morpheme,derivational_affixes,inflectional_affixes,tone_pattern,syllable_count,syllable_structure,vowel_harmony_class,nasality,example_sentence_yoruba,example_sentence_tone_marked,example_sentence_english,syntactic_role,valency,aspect_marker,tense_marker,negation_form,dialect_variant,register,frequency_class,semantic_field,animacy,noun_class,verb_class,adposition_type,complementizer_type,focus_marker,serial_verb_position,idiomatic_usage,source_corpus,data_collector,annotation_confidence,notes
YOR_000001,etido,etido,pending,noun,common,[],gloss_needed,mono,1,etido,none,none,MMM,2,V.CV,ATR+,non-nasal,Mo ri etido,Mo rí etido,I saw the etido,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000002,ilumọọka,ilumọọka,pending,noun,common,[],gloss_needed,mono,1,ilumọọka,none,none,MMMMM,4,V.CV,ATR+,non-nasal,Mo ri ilumọọka,Mo rí ilumọọka,I saw the ilumọọka,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000003,Idaaṣa,Idaaṣa,pending,noun,common,[],gloss_needed,mono,1,Idaaṣa,none,none,MMM,3,V.CV,ATR+,non-nasal,Mo ri Idaaṣa,Mo rí Idaaṣa,I saw the Idaaṣa,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000004,lafikun,lafikun,pending,noun,common,[],gloss_needed,mono,1,lafikun,none,none,MMM,3,V.CV,ATR+,non-nasal,Mo ri lafikun,Mo rí lafikun,I saw the lafikun,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000005,paaki,paaki,pending,noun,common,[],gloss_needed,mono,1,paaki,none,none,MMM,2,V.CV,ATR+,non-nasal,Mo ri paaki,Mo rí paaki,I saw the paaki,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000006,idọti,idọti,pending,noun,common,[],gloss_needed,mono,1,idọti,none,none,MMM,2,V.CV,ATR+,non-nasal,Mo ri idọti,Mo rí idọti,I saw the idọti,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000007,ifọwọsowọpọ,ifọwọsowọpọ,pending,noun,common,[],gloss_needed,mono,1,ifọwọsowọpọ,none,none,MMMMMM,5,V.CV,ATR+,non-nasal,Mo ri ifọwọsowọpọ,Mo rí ifọwọsowọpọ,I saw the ifọwọsowọpọ,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000008,ọja agbaye,ọja agbaye,pending,noun,common,[],gloss_needed,mono,1,ọja agbaye,none,none,MMMMM,5,V.CV,ATR+,non-nasal,Mo ri ọja agbaye,Mo rí ọja agbaye,I saw the ọja agbaye,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000009,idagbaroke,idagbaroke,pending,noun,common,[],gloss_needed,mono,1,idagbaroke,none,none,MMMMM,5,V.CV,ATR+,non-nasal,Mo ri idagbaroke,Mo rí idagbaroke,I saw the idagbaroke,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
YOR_000010,jẹnna,jẹnna,pending,noun,common,[],gloss_needed,mono,1,jẹnna,none,none,MM,2,V.CV,ATR+,non-nasal,Mo ri jẹnna,Mo rí jẹnna,I saw the jẹnna,object,transitive,—,—,—,Standard,neutral,medium,general,inanimate,count,—,—,—,—,—,no,Wiktionary Scrape,Auto-Bot,medium,
